Combination,Weight1,Weight2,10-Year Return
QQQ-SCHD,8,2,372.6903995
QQQ-SCHD,8,2,369.38502
QQQ-SCHD,8,2,354.4185432
QQQ-SCHD,8,2,367.5967183
QQQ-SCHD,8,2,353.1748696
QQQ-SCHD,8,2,357.3898583
QQQ-SCHD,8,2,362.1145426
QQQ-SCHD,8,2,382.8871287
QQQ-SCHD,8,2,344.5746386
QQQ-SCHD,8,2,327.2004754
QQQ-SCHD,8,2,318.3639149
QQQ-SCHD,8,2,342.716316
QQQ-SCHD,9,1,584.4955263
QQQ-SCHD,9,1,611.4578702
QQQ-SCHD,9,1,627.3322212
QQQ-SCHD,9,1,520.0859995
QQQ-SCHD,9,1,460.0015887
QQQ-SCHD,9,1,458.7328045
QQQ-SCHD,9,1,393.3088145
QQQ-SCHD,9,1,423.3392919
QQQ-SCHD,9,1,360.5585128
QQQ-SCHD,9,1,408.5743571
QQQ-SCHD,9,1,361.8666515
QQQ-SCHD,9,1,310.8650555
QQQ-SCHD,9,1,352.1722315
QQQ-SCHD,9,1,372.0498221
QQQ-SCHD,9,1,333.9616204
QQQ-SCHD,9,1,362.7414765
QQQ-SCHD,9,1,357.3277149
QQQ-SCHD,9,1,380.8616841
QQQ-SCHD,9,1,370.5207594
QQQ-SCHD,9,1,385.6550132
QQQ-SCHD,9,1,427.5993155
QQQ-SCHD,9,1,416.4219526
QQQ-SCHD,9,1,412.3965861
QQQ-SCHD,9,1,365.3291921
QQQ-SCHD,9,1,333.4045794
QQQ-SCHD,9,1,362.3811469
QQQ-SCHD,9,1,375.4564806
QQQ-SCHD,9,1,394.0496446
QQQ-SCHD,9,1,393.6411596
QQQ-SCHD,9,1,412.8200628
QQQ-SCHD,9,1,390.8369136
QQQ-SCHD,9,1,398.2415841
QQQ-SCHD,9,1,411.6604596
QQQ-SCHD,9,1,402.6242498
QQQ-SCHD,9,1,385.2621093
QQQ-SCHD,9,1,400.5576915
QQQ-SCHD,9,1,384.2876082
QQQ-SCHD,9,1,388.4024591
QQQ-SCHD,9,1,397.6505073
QQQ-SCHD,9,1,419.6241556
QQQ-SCHD,9,1,374.9566124
QQQ-SCHD,9,1,352.9602841
QQQ-SCHD,9,1,347.111788
QQQ-SCHD,9,1,375.3441543
QQQ-SCHD,10,0,635.7010519
QQQ-SCHD,10,0,671.1507996
QQQ-SCHD,10,0,684.8576673
QQQ-SCHD,10,0,560.5945059
QQQ-SCHD,10,0,493.0139238
